Keyword,Score
getty images,0.005171996982199967
companies,0.009197077516369289
digital,0.013377770369765278
reimagining,0.017971659866903654
operations,0.019862181847998997
customer,0.020432484122810176
return,0.021004053912831826
leaders,0.02437825790045426
world cup marked,0.026427449136926174
crisis,0.02646338797133428
company,0.026570907936304865
business,0.028102259723861614
customers,0.028605477771934246
surviving to thriving,0.03287296611767132
work,0.03453004089044756
world cup,0.03843292560405125
decision making,0.039028412378556095
making,0.04485820247936101
models,0.04660657286374526
sales,0.04662145818729248
teams,0.047843391391146226
demand,0.04888564517460526
organizations,0.05250014132190365
cup marked,0.05250795052123027
digital solutions,0.052962432008759705
model,0.05326465470142315
covid reimagining return,0.05376673202338302
quickly,0.05411488667450744
thriving,0.0568489615802013
surviving,0.057230641427809974
revenue,0.05843304022310588
decision,0.06042505804486187
back,0.061059262972024506
data,0.06177251222398346
brazil,0.06214134185250796
creating,0.062459599247829366
experience,0.06546413080347771
supply chains,0.06625260562137153
chains,0.06651879001548262
world,0.07031519191397784
maskot,0.07100249437314039
getty,0.0714887765461433
images,0.07197472547098845
ceo,0.07223660220184322
company leaders,0.07228649561900918
faster,0.07289189578782046
team,0.07654942622583395
toughest leadership test,0.0789181376667992
reimagining return,0.07945682413167045
global,0.08172237240121197
rapid,0.08217022312598428
fast,0.08237578463637754
accelerate,0.08340737327394171
business leaders,0.08402186383123687
operating model,0.08440792652173786
cup,0.08459436275759237
services,0.08757701242613708
businesses,0.0880016651655233
employees,0.08808105655925322
supply,0.08906672128167378
analytics,0.08942392007510533
operating,0.09032073299241351
months,0.0911616181557412
advantage,0.09138736435612245
decisions faster,0.09173933377335142
important,0.09232043798573451
recovery,0.09311300468903666
competitive advantage,0.09423980010068406
found and economies,0.09522713581332996
demand patterns,0.0966399611242816
return rapid revenue,0.0990871577485285
time,0.10265814257501933
decisions,0.10574385157850827
roles,0.10768328607204468
successful companies,0.10872371276326497
service,0.10947126553267135
normal,0.10973398160454861
solutions,0.11363119232870703
percent,0.11365799228056672
sense,0.11399001378465339
safety,0.11509379080932008
analytics customer experience,0.11525574790592594
agile,0.11648957146977401
rebuilding operations,0.11679039518645701
competitive,0.11682224081493883
important decisions faster,0.1180498996252126
management,0.11982920179868434
creation,0.11987853706514343
speed,0.12009505577593743
leadership,0.12032979904708056
mckinsey,0.1204770061066381
environment,0.12141586111420943
technology,0.12223009294295437
rapid revenue,0.1263004738124928
cost,0.12740067479222608
costs,0.12740067479222608
shifts,0.12911552636691256
e-commerce analytics customer,0.12933999837943883
pelé,0.13408347765901069
operations resilience,0.1360828037681543
revenues,0.1363437605205804
covid reimagining,0.13926943574703568
operations leaders,0.140865354728856
customer expectations,0.1427250288729551
channels,0.14714932141143902
